[Hz],FFT[dBm]
4.01000977E+05,-9.86254E+01
4.01611328E+05,-9.62654E+01
4.02221680E+05,-9.75254E+01
4.02832031E+05,-9.94454E+01
4.03442383E+05,-1.23965E+02
4.04052734E+05,-1.01765E+02
4.04663086E+05,-1.16465E+02
4.05273438E+05,-1.15385E+02
4.05883789E+05,-9.77854E+01
4.06494141E+05,-9.45454E+01
4.07104492E+05,-9.23854E+01
4.07714844E+05,-9.76454E+01
4.08325195E+05,-9.86854E+01
4.08935547E+05,-1.01385E+02
4.09545898E+05,-1.02585E+02
4.10156250E+05,-1.01985E+02
4.10766602E+05,-1.02765E+02
4.11376953E+05,-1.05785E+02
4.11987305E+05,-1.03925E+02
4.12597656E+05,-9.83854E+01
4.13208008E+05,-9.73654E+01
4.13818359E+05,-1.06485E+02
4.14428711E+05,-9.80454E+01
4.15039062E+05,-1.08685E+02
4.15649414E+05,-9.60654E+01
4.16259766E+05,-9.90054E+01
4.16870117E+05,-1.10725E+02
4.17480469E+05,-9.72854E+01
4.18090820E+05,-1.02585E+02
4.18701172E+05,-1.01385E+02
4.19311523E+05,-9.79654E+01
4.19921875E+05,-9.36254E+01
4.20532227E+05,-9.35854E+01
4.21142578E+05,-9.40854E+01
4.21752930E+05,-1.00225E+02
4.22363281E+05,-1.04045E+02
4.22973633E+05,-1.02905E+02
4.23583984E+05,-9.99654E+01
4.24194336E+05,-1.06125E+02
4.24804688E+05,-9.48454E+01
4.25415039E+05,-1.01485E+02
4.26025391E+05,-9.54454E+01
4.26635742E+05,-1.00945E+02
4.27246094E+05,-9.85254E+01
4.27856445E+05,-9.60254E+01
4.28466797E+05,-9.80054E+01
4.29077148E+05,-9.21654E+01
4.29687500E+05,-9.75254E+01
4.30297852E+05,-9.93054E+01
4.30908203E+05,-9.46454E+01
4.31518555E+05,-9.81854E+01
4.32128906E+05,-1.04145E+02
4.32739258E+05,-1.07125E+02
4.33349609E+05,-9.80054E+01
4.33959961E+05,-9.35854E+01
4.34570312E+05,-9.62654E+01
4.35180664E+05,-9.90454E+01
4.35791016E+05,-1.14265E+02
4.36401367E+05,-9.60854E+01
4.37011719E+05,-9.53454E+01
4.37622070E+05,-9.75654E+01
4.38232422E+05,-9.77054E+01
4.38842773E+05,-9.47254E+01
4.39453125E+05,-9.40454E+01
4.40063477E+05,-9.70254E+01
4.40673828E+05,-9.97054E+01
4.41284180E+05,-9.66454E+01
4.41894531E+05,-9.18854E+01
4.42504883E+05,-9.51054E+01
4.43115234E+05,-9.99454E+01
4.43725586E+05,-9.92054E+01
4.44335938E+05,-1.04645E+02
4.44946289E+05,-9.67854E+01
4.45556641E+05,-9.58454E+01
4.46166992E+05,-1.04445E+02
4.46777344E+05,-9.18654E+01
4.47387695E+05,-8.92054E+01
4.47998047E+05,-9.25654E+01
4.48608398E+05,-1.04325E+02
4.49218750E+05,-1.06325E+02
4.49829102E+05,-9.42854E+01
4.50439453E+05,-9.12454E+01
4.51049805E+05,-9.74854E+01
4.51660156E+05,-9.70254E+01
4.52270508E+05,-1.01505E+02
4.52880859E+05,-9.93454E+01
4.53491211E+05,-1.01125E+02
4.54101562E+05,-1.04765E+02
4.54711914E+05,-1.03625E+02
4.55322266E+05,-1.03765E+02
4.55932617E+05,-9.60654E+01
4.56542969E+05,-8.84854E+01
4.57153320E+05,-8.77654E+01
4.57763672E+05,-9.45854E+01
4.58374023E+05,-1.18565E+02
4.58984375E+05,-1.05885E+02
4.59594727E+05,-9.47854E+01
4.60205078E+05,-9.07054E+01
4.60815430E+05,-9.07654E+01
4.61425781E+05,-9.42254E+01
4.62036133E+05,-9.73254E+01
4.62646484E+05,-9.57054E+01
4.63256836E+05,-1.01865E+02
4.63867188E+05,-9.72854E+01
4.64477539E+05,-9.46454E+01
4.65087891E+05,-9.41854E+01
4.65698242E+05,-9.67854E+01
4.66308594E+05,-9.96654E+01
4.66918945E+05,-1.01745E+02
4.67529297E+05,-9.44654E+01
4.68139648E+05,-9.26254E+01
4.68750000E+05,-9.29054E+01
4.69360352E+05,-9.83454E+01
4.69970703E+05,-1.00465E+02
4.70581055E+05,-9.22454E+01
4.71191406E+05,-9.24854E+01
