
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
2.02;0.282;1.40;0.20;
2.03;0.283;1.40;0.20;
2.03;0.284;1.20;0.18;
2.04;0.285;0.60;0.09;
2.04;0.285;0.60;0.09;
2.05;0.286;1.10;0.16;
2.05;0.287;0.90;0.13;
2.06;0.287;0.20;0.03;
2.06;0.288;-0.00;-0.00;
2.07;0.289;-0.40;-0.06;
2.07;0.289;-0.70;-0.10;
2.08;0.290;-0.30;-0.04;
2.08;0.290;-0.10;-0.01;
2.09;0.291;-0.00;-0.00;
2.09;0.292;0.40;0.06;
2.10;0.292;0.30;0.04;
2.10;0.294;-0.50;-0.07;
2.11;0.294;0.20;0.03;
2.11;0.294;0.40;0.06;
2.12;0.296;0.90;0.13;
2.12;0.296;1.50;0.22;
2.13;0.296;0.30;0.04;
2.13;0.298;-0.10;-0.01;
2.13;0.298;-0.60;-0.09;
2.14;0.299;-0.60;-0.09;
2.14;0.299;-0.40;-0.06;
2.15;0.300;0.10;0.01;
2.15;0.301;-0.30;-0.04;
2.16;0.301;-0.00;-0.00;
2.16;0.302;0.30;0.04;
2.17;0.303;-0.50;-0.07;
2.17;0.303;0.30;0.04;
2.18;0.304;-0.40;-0.06;
2.18;0.305;-0.30;-0.04;
2.19;0.306;0.30;0.04;
2.19;0.306;0.40;0.06;
2.20;0.306;0.80;0.12;
2.20;0.308;0.30;0.04;
2.21;0.308;-0.60;-0.09;
2.21;0.308;-1.20;-0.18;
2.22;0.310;-1.50;-0.22;
2.22;0.310;-1.30;-0.19;
2.23;0.310;-0.50;-0.07;
2.23;0.312;-0.80;-0.12;
2.24;0.312;-0.30;-0.04;
2.24;0.313;0.30;0.04;
2.25;0.313;-0.50;-0.07;
2.26;0.314;-0.00;-0.00;
2.26;0.315;-0.00;-0.00;
2.27;0.315;-0.40;-0.06;
2.27;0.317;0.50;0.07;
2.28;0.317;0.90;0.13;
2.28;0.317;0.50;0.07;
2.29;0.319;0.80;0.12;
2.29;0.319;0.80;0.12;
2.30;0.319;0.30;0.04;
2.30;0.320;0.70;0.10;
2.31;0.321;0.40;0.06;
2.31;0.322;0.30;0.04;
2.32;0.322;0.60;0.09;
2.32;0.324;0.80;0.12;
2.33;0.324;1.00;0.15;
2.33;0.325;1.00;0.15;
2.34;0.326;1.30;0.19;
2.34;0.326;0.30;0.04;
2.35;0.327;-0.80;-0.12;
2.35;0.328;-0.50;-0.07;
2.36;0.329;-1.00;-0.15;
2.36;0.329;-0.50;-0.07;
2.37;0.331;0.80;0.12;
2.37;0.331;0.40;0.06;
2.38;0.332;0.60;0.09;
2.38;0.333;0.60;0.09;
2.38;0.333;0.50;0.07;
2.39;0.335;0.60;0.09;
2.39;0.335;0.60;0.09;
2.40;0.336;0.90;0.13;
2.40;0.336;1.10;0.16;
2.41;0.338;0.70;0.10;
2.41;0.338;1.10;0.16;
2.42;0.339;0.20;0.03;
2.42;0.340;-0.40;-0.06;
2.43;0.340;0.20;0.03;
2.43;0.342;-0.40;-0.06;
2.44;0.342;-0.20;-0.03;
2.44;0.343;-0.40;-0.06;
2.45;0.343;-0.60;-0.09;
